ID,TaskName,TaskNum,Date,TimeSpentMins,DifficultyRate,NecessityRate,FunRate,Category,Notes
0,Other task,1,2019-12-15,30,1,1,5,LF,none
1,this task,1,2019-12-15,10,1,5,2,RM,none
2,My Task,1,2019-12-15,20,4,4,5,LF,none
3,New task,1,2019-12-15,45,4,5,2,RM,none
4,this task,1,2019-12-16,20,1,5,2,RM,none
5,New task,1,2019-12-16,45,5,4,1,RM,none
6,My Task,1,2019-12-16,25,4,4,5,LF,none
7,Other task,1,2019-12-16,30,1,1,5,LF,none
8,New task,1,2019-12-23,40,4,4,2,RM,none
9,Other task,1,2019-12-23,25,1,2,4,LF,none
10,this task,1,2019-12-23,5,2,4,1,RM,none
11,My Task,1,2019-12-23,15,3,5,4,LF,none
12,this task,2,2019-12-23,15,2,5,2,RM,none
13,New task,2,2019-12-23,50,4,4,1,RM,none
14,My Task,2,2019-12-23,20,5,4,4,LF,none
15,Other task,1,2019-12-24,35,1,2,5,LF,none
16,My Task,1,2019-12-24,25,2,3,4,LF,none
